,date,price
164,2020-08-09,11739.131006414418
165,2020-08-10,11682.851469154939
166,2020-08-11,11862.938012702563
167,2020-08-12,11398.671060896633
168,2020-08-13,11579.867951602135
169,2020-08-14,11817.164038803397
170,2020-08-15,11777.391322489924
171,2020-08-16,11864.905810156475
172,2020-08-17,11901.776488302461
173,2020-08-18,12272.465808160425
174,2020-08-19,11949.610970628193
175,2020-08-20,11733.278970862082
176,2020-08-21,11861.83657727968
177,2020-08-22,11515.124298729217
178,2020-08-23,11676.385305081287
179,2020-08-24,11647.928120934363
180,2020-08-25,11758.828120368864
181,2020-08-26,11350.753473213
182,2020-08-27,11465.002564032086
183,2020-08-28,11300.398363810944
184,2020-08-29,11519.118388160729
185,2020-08-30,11481.481823317012
186,2020-08-31,11701.004008657852
