"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 09, 2017","100.647","100.240","100.670","100.075","33.57K","0.38%"
"Feb 08, 2017","100.264","100.435","100.630","100.030","31.54K","0.02%"
"Feb 07, 2017","100.245","99.960","100.695","99.910","38.83K","0.38%"
"Feb 06, 2017","99.865","99.700","100.225","99.605","27.45K","0.02%"
"Feb 03, 2017","99.842","99.825","100.370","99.520","49.52K","0.05%"
"Feb 02, 2017","99.788","99.560","99.840","99.195","40.68K","0.18%"
"Feb 01, 2017","99.608","99.580","100.060","99.480","42.20K","0.13%"
"Jan 31, 2017","99.481","100.390","100.505","99.400","57.72K","-0.93%"
"Jan 30, 2017","100.414","100.430","101.015","100.145","38.52K","-0.11%"
"Jan 27, 2017","100.526","100.515","100.810","100.310","30.57K","0.15%"
"Jan 26, 2017","100.375","99.795","100.735","99.765","35.13K","0.36%"
"Jan 25, 2017","100.019","100.240","100.395","99.815","28.27K","-0.32%"
"Jan 24, 2017","100.339","99.980","100.395","99.885","29.39K","0.21%"
"Jan 23, 2017","100.130","100.750","100.750","99.920","40.27K","-0.56%"
"Jan 20, 2017","100.690","101.195","101.485","100.675","40.55K","-0.45%"
"Jan 19, 2017","101.144","101.360","101.710","100.955","53.38K","0.22%"
"Jan 18, 2017","100.918","100.330","101.335","100.315","39.87K","0.60%"
"Jan 17, 2017","100.320","101.560","101.615","100.235","61.48K","-0.86%"
"Jan 16, 2017","101.188","101.480","101.725","101.310","15.95K","0.00%"
"Jan 13, 2017","101.188","101.520","101.680","100.830","38.03K","-0.19%"
"Jan 12, 2017","101.377","101.720","101.770","100.700","54.03K","-0.36%"
"Jan 11, 2017","101.747","102.015","102.960","101.240","74.59K","-0.24%"
"Jan 10, 2017","101.996","101.850","102.090","101.485","33.33K","0.09%"
"Jan 09, 2017","101.909","102.245","102.490","101.845","31.02K","-0.29%"
"Jan 06, 2017","102.209","101.540","102.300","101.395","38.07K","0.67%"
"Jan 05, 2017","101.528","102.065","102.500","101.295","60.27K","-1.15%"
"Jan 04, 2017","102.709","103.350","103.420","102.385","36.18K","-0.48%"
"Jan 03, 2017","103.201","102.815","103.815","102.625","51.70K","0.89%"
"Dec 30, 2016","102.286","102.240","102.630","101.950","38.08K","-0.41%"
"Dec 29, 2016","102.711","103.195","103.210","102.650","31.94K","-0.52%"
