,price_BTC,24% change_BTC,price_chainlink,24% change_chainlink,price_ETH,24% change ETH_ETH,price_ADA,24% change ETH_ADA
2020-01-08,8147.415237636371,5.07,2.1071254211508093,8.46,143.019432264986,-0.55,0.03700031491468185,0.0
2020-01-09,8045.789124592971,-1.26,2.1809369562451804,3.38,140.27393527388705,-1.96,0.03622525504485451,-2.14
2020-01-10,7832.795643840387,-2.72,2.1704058288449564,-0.49,137.86055928182662,-1.75,0.03606813363312789,-0.44
2020-01-11,8180.513169803805,4.25,2.2236969338365875,2.4,144.6047743464792,4.66,0.03704461838827698,2.64
2020-01-12,8012.085781814529,-2.1,2.271799777848724,2.12,142.18233327497873,-1.7,0.03644230426734148,-1.65
2020-01-13,8171.401185320944,1.95,2.229241108615507,-1.91,145.42287633530452,2.23,0.037372044999992096,2.49
2020-01-14,8110.647964503772,-0.75,2.1873957164590623,-1.91,143.58796905036286,-1.28,0.03694314176800163,-1.16
2020-01-15,8801.871213137745,7.85,2.388481504352168,8.42,165.99143854583525,13.5,0.04128584833942434,10.52
2020-01-16,8820.85010599613,0.22,2.402578880239726,0.59,166.2530969048888,0.16,0.042411480438429544,2.65
2020-01-17,8720.91950137424,-1.15,2.4780620952535406,3.05,163.80590111423027,-1.49,0.04149477270942618,-2.21
2020-01-18,8902.568995225329,2.04,2.710799791351824,8.59,171.15621787671842,4.29,0.04435018182495084,6.44
2020-01-19,8906.902675151074,0.05,2.760310991298451,1.79,174.23837318258896,1.77,0.044812672747495216,1.03
2020-01-20,8690.380569544623,-2.49,2.6081897368975935,-5.83,166.6271059505621,-4.57,0.04246575287233477,-5.53
2020-01-21,8631.253954333763,-0.69,2.7022761186171755,3.48,166.93852805776982,0.19,0.04320533822872788,1.71
2020-01-22,8724.818622931474,1.07,2.667311723636455,-1.31,169.27993585839258,1.38,0.04564428999104319,5.34
2020-01-23,8665.436914096897,-0.69,2.639853694567847,-1.04,167.8265296405669,-0.87,0.045344968823828,-0.66
2020-01-24,8415.956027335538,-2.96,2.4627577280385258,-7.19,162.51937110634034,-3.27,0.0433842987518649,-4.52
2020-01-25,8432.096675789418,0.19,2.4965896722209058,1.36,162.40947975163584,-0.07,0.04445290661489713,2.4
