,price_BTC,price_ETH,BTC 1W change percent,ETH 1W change percent
2016-07-03,664.7451003433932,11.825161030775883,5.33,-17.08
2016-07-10,650.3210000000003,10.957294339543301,-2.22,-7.92
2016-07-17,678.3905582459545,11.314787410063753,4.14,3.16
2016-07-24,660.848923533057,12.803851809790078,-2.65,11.63
2016-07-31,623.7457712533022,11.868408414551208,-5.95,-7.88
2016-08-07,592.6675,10.920308055489057,-5.24,-8.68
2016-08-14,570.7366999999999,11.25990352208696,-3.84,3.02
2016-08-21,580.5870271371734,11.154044310153234,1.7,-0.95
2016-08-28,573.5288,10.91304107690759,-1.23,-2.21
2016-09-04,608.6887999999999,11.662579543984544,5.78,6.43
2016-09-11,605.3154151790802,11.59605624659764,-0.56,-0.57
2016-09-18,608.7950000000002,12.369052139120052,0.57,6.25
2016-09-25,599.3112999999997,13.045598643367276,-1.58,5.19
2016-10-02,610.3588000000001,13.197909934562759,1.81,1.15
2016-10-09,614.6238000000001,12.029519227976937,0.69,-9.71
2016-10-16,640.1862999999997,11.930313388885365,3.99,-0.83
2016-10-23,649.6263000000002,11.933800410433603,1.45,0.03
2016-10-30,697.2773624560577,11.186557158904845,6.83,-6.68
2016-11-06,712.1263000000001,10.920762843886132,2.09,-2.43
2016-11-13,702.3463169808624,10.110719459728225,-1.39,-8.01
2016-11-20,728.3713,9.530496491166998,3.57,-6.09
2016-11-27,727.7574999999999,8.907402683417718,-0.08,-7.0
2016-12-04,766.3687999999997,7.469132189830329,5.04,-19.26
2016-12-11,768.2324999999998,8.214985823104497,0.24,9.08
2016-12-18,788.4413000000003,7.856185612715422,2.56,-4.57
2016-12-25,894.3371331688621,7.2132341590915585,11.84,-8.91
2017-01-01,998.05,8.064789989459687,10.39,10.56
2017-01-08,908.0850000000004,10.267836701334787,-9.91,21.46
2017-01-15,821.9124999999998,9.785923385543578,-10.48,-4.92
2017-01-22,918.7788120146554,10.745356049118469,10.54,8.93
2017-01-29,914.1424999999998,10.430442595335876,-0.51,-3.02
2017-02-05,1016.9261585954309,11.242238837962214,10.11,7.22
2017-02-12,1000.5237691031117,11.354164564644952,-1.64,0.99
2017-02-19,1053.5024999999998,12.775445603327524,5.03,11.13
2017-02-26,1180.6730000000002,14.547676188997867,10.77,12.18
2017-03-05,1276.2330000000002,19.247364659986754,7.49,24.42
2017-03-12,1230.56,23.09884795827443,-3.71,16.67
2017-03-19,1023.4901008756748,44.08879749579081,-20.23,47.61
2017-03-26,954.4766599717783,50.049454214237386,-7.23,11.91
2017-04-02,1098.0679999999998,48.37846727683558,13.08,-3.45
2017-04-09,1187.6989999999998,44.1907610730727,7.55,-9.48
2017-04-16,1186.31,48.70871927867354,-0.12,9.28
2017-04-23,1247.8388,50.60871348408776,4.93,3.75
2017-04-30,1349.8863,79.8025539393512,7.56,36.58
2017-05-07,1557.8838,89.73967947914684,13.35,11.07
2017-05-14,1767.7088,90.05504056395782,11.87,0.35
2017-05-21,2053.8788,148.65732047983943,13.93,39.42
2017-05-28,2219.4875,172.3406699356334,7.46,13.74
2017-06-04,2556.405,247.4275410848339,13.18,30.35
2017-06-11,3013.7138,341.0796489185503,15.17,27.46
2017-06-18,2577.21936114026,359.4387121135216,-16.94,5.11
2017-06-25,2606.8632352265,288.04702626534885,1.14,-24.78
2017-07-02,2518.54569431263,286.1336070099866,-3.51,-0.67
2017-07-09,2519.21739188349,238.75431849081662,0.03,-19.84
2017-07-16,1927.09906562122,156.46899162898947,-30.73,-52.59
2017-07-23,2731.60400741206,226.7185992848529,29.45,30.99
2017-07-30,2740.32359181287,197.19896347978235,0.32,-14.97
2017-08-06,3189.7324534615,263.2220861638244,14.09,25.08
2017-08-13,4023.25452207874,297.15980274719976,20.72,11.42
2017-08-20,4001.22863247285,295.17157732771335,-0.55,-0.67
2017-08-27,4116.46873916326,343.34133712814116,2.8,14.03
2017-09-03,4632.46233076675,349.92924044114534,11.14,1.88
2017-09-10,4132.6646422833,292.7796567856866,-12.09,-19.52
2017-09-17,3553.43231625865,249.66654597502836,-16.3,-17.27
2017-09-24,3672.30507973319,280.68104473460187,3.24,11.05
2017-10-01,4347.57873545332,299.6748890236153,15.53,6.34
2017-10-08,4562.32193109848,307.05813687389934,4.71,2.4
2017-10-15,5684.04710411913,335.3913549863649,19.73,8.45
2017-10-22,6003.4640189335,295.4882479105146,5.32,-13.5
2017-10-29,6123.54977135535,303.74113040048763,1.96,2.72
2017-11-05,7416.26795098255,297.5173231052644,17.43,-2.09
2017-11-12,5866.51312938529,314.1661277072687,-26.42,5.3
2017-11-19,8011.14742989044,353.43572964676,26.77,11.11
2017-11-26,9342.98864142167,468.998099373249,14.25,24.64
2017-12-03,11256.7018287538,461.880481908051,17.0,-1.54
2017-12-10,15808.5098961544,446.691058078548,28.79,-3.4
2017-12-17,19423.5801532525,728.700471211578,18.61,38.7
2017-12-24,14451.1145466743,686.208308919806,-34.41,-6.19
2017-12-31,14839.5907854184,774.696255457107,2.62,11.42
2018-01-07,17039.8739138488,1137.6549188901813,12.91,31.9
2018-01-14,14476.5889713691,1410.0002145085193,-17.71,19.32
2018-01-21,11703.5048628599,1053.6332024800395,-23.69,-33.82
2018-01-28,11665.6969300847,1237.3241758467964,-0.32,14.85
2018-02-04,8994.91486607664,941.8032295185238,-29.69,-31.38
2018-02-11,8574.67763849023,854.3498784217315,-4.9,-10.24
2018-02-18,11006.647685962,964.2765079107337,22.1,11.4
2018-02-25,9742.62819006538,828.7233989886703,-12.97,-16.36
2018-03-04,11356.0416016724,844.2552535175925,14.21,1.84
2018-03-11,8890.86580399612,684.934340074043,-27.73,-23.26
2018-03-18,8063.4097921227,560.1094330840288,-10.26,-22.29
2018-03-25,8621.15079225785,519.4855998398031,6.47,-7.82
2018-04-01,6975.27531402076,395.79638095782116,-23.6,-31.25
2018-04-08,6884.47723505995,383.44636088273523,-1.32,-3.22
2018-04-15,7897.71993085806,495.11291363236046,12.83,22.55
2018-04-22,8878.42826029723,600.2596767733208,11.05,17.52
2018-04-29,9249.65952508923,672.5969368274542,4.01,10.75
2018-05-06,9766.24448548887,807.0673291637275,5.29,16.66
2018-05-13,8480.58037612559,683.1702676131072,-15.16,-18.14
2018-05-20,8180.62700991409,685.8467539789947,-3.67,0.39
2018-05-27,7328.87167436352,580.4834597869499,-11.62,-18.15
2018-06-03,7567.51293761927,583.1316392150303,3.15,0.45
2018-06-10,7415.00137858946,581.1212496803587,-2.06,-0.35
2018-06-17,6478.81592433021,493.0678580653148,-14.45,-17.86
2018-06-24,6169.43726386169,472.9772647615346,-5.01,-4.25
2018-07-01,6366.49946751097,449.43004507185094,3.1,-5.24
2018-07-08,6759.83608914527,481.523823511904,5.82,6.67
2018-07-15,6246.13741162634,431.78456841825795,-8.22,-11.52
2018-07-22,7379.137271821949,458.0790283587359,15.35,5.74
2018-07-29,8192.13570223742,465.8991552657435,9.92,1.68
2018-08-05,7009.012011793916,406.8839911959127,-16.88,-14.5
2018-08-12,6205.218479944854,317.3144774285816,-12.95,-28.23
2018-08-19,6382.0605914076095,293.17699177790365,2.77,-8.23
2018-08-26,6736.036057516459,277.96671056981506,5.25,-5.47
2018-09-02,7211.270767868822,295.6461617616964,6.59,5.98
2018-09-09,6181.19445075213,196.8653868522827,-16.66,-50.18
2018-09-16,6530.221146234664,223.05308230390335,5.34,11.74
2018-09-23,6747.032172960024,241.8437317592413,3.21,7.77
2018-09-30,6606.073795422076,231.73587329828854,-2.13,-4.36
2018-10-07,6589.124681678888,225.06880731767052,-0.26,-2.96
2018-10-14,6314.883384422573,201.05349968429928,-4.34,-11.94
2018-10-21,6532.678750383806,206.88209866230514,3.33,2.82
2018-10-28,6457.058635186671,203.18739632422128,-1.17,-1.82
2018-11-04,6388.1897883073725,200.13622776255878,-1.08,-1.52
2018-11-11,6429.898792074219,212.9658278769949,0.65,6.02
2018-11-18,5599.1915956893035,175.6674163561008,-14.84,-21.23
2018-11-25,3895.8368129589876,114.28793125942474,-43.72,-53.71
2018-12-02,4189.573822999859,118.10075903673732,7.01,3.23
2018-12-09,3424.7058606626006,90.67825609691094,-22.33,-30.24
2018-12-16,3221.9762037129963,83.8335821320138,-6.29,-8.16
2018-12-23,3960.567773408038,115.04582181530175,18.65,27.13
2018-12-30,3778.193939889601,138.75426661197633,-4.83,17.09
2019-01-06,3787.3078571242845,153.65187149457,0.24,9.7
2019-01-13,3598.4363465618803,123.75936261029351,-5.25,-24.15
2019-01-20,3674.587270857304,122.92817578942176,2.07,-0.68
2019-01-27,3563.614563419144,115.33716687142687,-3.11,-6.58
2019-02-03,3486.581616258029,108.77817692653159,-2.21,-6.03
2019-02-10,3667.4082642899566,119.48955517293045,4.93,8.96
2019-02-17,3622.5916530750715,122.93860835926709,-1.24,2.81
2019-02-24,4115.3379267876635,157.67559560191677,11.97,22.03
2019-03-03,3819.645730582585,132.40742658761687,-7.74,-19.08
2019-03-10,3941.600873271771,137.1960003042231,3.09,3.49
2019-03-17,4007.709463818873,141.08804416286097,1.65,2.76
2019-03-24,4008.945386314754,137.19806866408575,0.03,-2.84
2019-03-31,4103.856421333923,142.28965262894044,2.31,3.58
2019-04-07,5041.869075888309,165.32515186458005,18.6,13.93
2019-04-14,5072.987191337883,163.97160033492332,0.61,-0.83
2019-04-21,5307.689183437135,173.16628767058037,4.42,5.31
2019-04-28,5256.977802474059,158.28919434200932,-0.96,-9.4
2019-05-05,5803.943309048437,162.83631690744346,9.42,2.79
2019-05-12,7258.261280655222,196.6901677286205,20.04,17.21
