Date,Price_BTC,Price_LINK
2020-02-02,9363.22420680057,2.828793021434588
2020-02-09,9890.701658194865,3.4237594716003503
2020-02-16,9894.136123789158,4.300753400470957
2020-02-23,9658.606058375473,4.097401544819644
2020-03-01,8552.989118581636,4.078126682900133
2020-03-08,8902.20195010789,4.347690687018586
2020-03-15,5214.189112383918,2.1294755948791324
2020-03-22,6145.770891252399,2.263956742824706
2020-03-29,6255.000398693634,2.138547449562877
2020-04-05,6859.424923721944,2.3124755688954233
2020-04-12,6878.781212589853,3.2913998591202938
2020-04-19,7242.5109294929825,3.785038904803591
2020-04-26,7538.557687279841,3.7851977407953834
2020-05-03,8966.307014689282,3.816254922390779
2020-05-10,9566.777187205966,4.021831458931145
2020-05-17,9375.29710843331,3.761284797930871
2020-05-24,9170.361063506127,3.926452631364842
